city,size_1,BH_2010,BH_2020,UHAE_range,UHAE_temp,range_2010,temp_2010,range_2020,temp_2020,GDP,population,风向差(绝对值),speed_2010(m/s),speed_2020(m/s),size_2,center_bh_rise(m)
上海市,Mega,15.75851378,23.91988733,11.57776539,1.148027725,8.079251937,1.235886747,15.74513048,1.506533843,38963.3,2512.235397,22.5,5.398050612,5.898320263,large,8.16137355
广州市,Mega,21.33543654,25.66460676,7.601918541,0.818763101,10.34613793,1.252178226,18.46208317,1.594685285,25068.75,1919.013737,0,4.083571671,4.578746772,large,4.32917022
深圳市,Mega,11.51742627,18.1135091,11.70706719,1.032932613,4.950038686,0.823886201,13.03650223,0.986120113,27759.02,1801.767765,0,4.618219088,4.943918594,large,6.59608283
重庆市,Mega,9.715478734,18.37366484,14.75065427,1.468389882,8.066807748,0.632823288,13.40713651,1.089603,25041.43,3233.370036,0,2.430242228,2.603057871,large,8.658186106
东莞市,large,15.8099076,20.58092704,9.614687312,0.772744295,8.705754531,1.17250615,18.60916225,1.131500851,9756.77,1079.864892,0,4.424214215,4.911583647,large,4.77101944
佛山市,large,10.88931063,19.45765413,10.96519548,1.341854275,6.002416656,0.397616583,17.34839886,1.333189278,10758.5,973.8596573,0,4.385516271,4.859786555,large,8.5683435
南京市,large,15.63185799,22.74622866,11.62641645,1.072872128,9.334254977,0.684272142,17.66040769,1.449567671,14782.95,945.1302277,22.5,4.257058739,4.524660152,large,7.11437067
南通市,large,8.378799356,21.51020171,15.67626368,1.8707393,3.482090147,0.568004395,12.7768086,1.335000561,10018.31,769.0369405,22.5,4.660133677,5.208319623,large,13.13140235
天津市,large,13.32130934,22.92139634,14.79199854,1.251964282,5.810224116,0.895935006,12.68113631,1.262068902,14007.99,1405.973917,45,3.394144842,3.514837397,large,9.600087
宁波市,large,10.13677238,20.61951356,13.77119089,1.33743148,4.895874924,0.89838094,12.40985596,1.238626906,12408.66,949.2576501,0,4.49684855,4.905640137,large,10.48274118
杭州市,large,5.380460491,17.53176525,18.05466578,1.568841697,2.942319041,0.336770022,13.52168188,0.98419821,16207,1214.259911,0,3.361195479,3.485176496,large,12.15130476
武汉市,large,15.66977639,19.71541626,8.025095146,0.660154801,11.28429749,0.991501886,13.0362167,0.996453405,15616.06,1268.263923,22.5,4.07360076,3.945001059,large,4.04563987
济南市,large,12.81876428,23.86108789,16.7817216,1.476491531,12.78365419,0.844188691,24.01981261,1.715487978,10140.91,931.3981652,0,3.858810895,4.001269953,large,11.04232361
苏州市,large,7.413580836,17.19222348,14.18993453,1.197087075,4.519913361,0.500622961,11.15374968,0.829041828,20180.45,1288.569333,0,4.699570771,5.05740403,large,9.778642644
西安市,large,20.32622247,24.39211412,10.3455331,0.800291151,11.22108727,1.237080613,23.90652497,1.660631252,10023.73,1242.202994,0,2.76477044,2.669070486,large,4.06589165
郑州市,large,15.19536956,22.67016443,12.52540834,1.109464795,11.05280331,0.86558418,20.12068193,1.436500554,11850.35,1289.40434,0,3.574319137,3.770133436,large,7.47479487
青岛市,large,11.89081213,19.76914449,12.21333951,1.162724005,9.496614177,1.098769118,19.92002919,1.358158761,12400.56,1005.519693,22.5,4.358829707,4.221576686,large,7.87833236
中山市,middle,10.85830543,19.74623231,11.08418303,0.768373815,5.958991783,0.409137747,15.81614609,1.161471379,3189.15,452.6039456,22.5,4.926208462,5.265818021,middle,8.88792688
亳州市,middle,2.938827567,17.41343702,12.82854875,1.20043834,3.387834515,0.397673441,9.385393903,1.182100322,1805.96,504.1931711,22.5,4.087257054,4.077419818,middle,14.47460945
信阳市,middle,8.532256537,17.02452931,8.602798428,0.673725208,4.267343456,0.808912102,14.55527491,0.972067606,2769.82,626.5167696,0,4.132438733,3.956429894,middle,8.492272773
兰州市,middle,17.56366593,18.70197559,3.92598123,0.393602007,9.796842183,1.443286837,12.67585669,1.21924913,2886.74,444.5779193,0,3.89819856,3.250500555,middle,1.13830966
南宁市,middle,11.21258871,18.11382032,7.739439869,0.615288362,4.058530553,0.865265319,10.75225396,1.036315463,4726.34,889.7949212,0,4.69870646,5.432509538,middle,6.90123161
厦门市,middle,12.88974541,18.0356634,7.881549863,0.593515404,11.58155639,0.914418687,12.33375523,1.12691709,6384.02,527.2690522,0,4.791317894,4.857996099,middle,5.14591799
咸阳市,middle,8.734265412,16.07479397,7.782539512,0.681346603,2.081743363,0.749125584,4.589212763,1.055147883,2176.33,503.8457545,45,2.966599218,3.000228782,middle,7.340528558
唐山市,middle,7.191150519,20.56392238,13.60772522,1.157134776,5.976004281,0.763990006,11.86397533,1.394371784,7210.9,770.3460061,45,2.914173583,3.210633652,middle,13.37277186
商丘市,middle,7.564664702,17.29912863,10.65051625,0.921998845,5.355505125,0.196148662,10.70063547,1.170305325,2886.59,790.0536954,0,3.903952566,4.072988625,middle,9.734463928
大连市,middle,10.82857888,17.86846721,7.946012067,0.647690385,4.878956662,0.833948248,12.47782535,1.190371528,7030.39,742.1413049,0,3.781157641,4.144771399,middle,7.03988833
安阳市,middle,4.906379902,15.02652193,10.83997541,0.901967269,3.975442807,0.543481969,12.88458202,0.78954488,2275.48,551.1980805,0,3.282137226,3.40848695,middle,10.12014203
宜春市,middle,5.665859803,16.7086684,10.37172291,0.799433749,7.508364026,0.317133413,12.38693754,0.910161122,2789.87,506.3516178,0,3.605791565,3.883714595,middle,11.0428086
宿迁市,middle,5.467444661,18.30509377,10.87041408,0.999015833,2.838127837,0.422192441,17.78134488,1.08877483,3270.37,502.6147321,0,4.381524997,4.293684888,middle,12.83764911
常州市,middle,10.9184478,23.2730187,12.90111143,1.032289252,5.189678495,0.644848973,17.9842543,1.680807908,7810.32,532.042101,22.5,4.299221717,4.528330713,middle,12.3545709
