city_name,year,R,R的平方,p值,RMSE,样本数量
七台河市,2010,0.6864,0.4711,2.014900e-05,0.4895,31.0
七台河市,2020,0.8694,0.7558,2.217900e-10,0.2377,31.0
万宁市,2010,0.6714,0.4507,4.527800e-04,0.3371,23.0
万宁市,2020,0.8049,0.6478,6.276000e-06,0.1859,22.0
三亚市,2010,0.9744,0.9494,8.316400e-08,0.1085,12.0
三亚市,2020,0.9368,0.8775,7.152200e-06,0.1806,12.0
三明市,2010,0.616,0.3795,2.899600e-04,1.3458,30.0
三明市,2020,0.6976,0.4867,1.829300e-05,1.2884,30.0
三门峡市,2010,0.8716,0.7596,1.758600e-10,0.4106,31.0
三门峡市,2020,0.9349,0.874,1.408700e-14,0.2743,31.0
上海市,2010,0.9846,0.9695,2.354500e-27,0.0438,36.0
上海市,2020,0.9598,0.9213,3.168900e-19,0.0361,34.0
上饶市,2010,0.8833,0.7803,2.221600e-10,0.1802,29.0
上饶市,2020,0.9614,0.9243,1.163700e-16,0.1279,29.0
东方市,2010,0.1891,0.0358,3.082700e-01,0.1269,31.0
东方市,2020,0.9133,0.8341,1.939700e-12,0.0812,30.0
东莞市,2010,0.8867,0.7863,3.151900e-11,0.1225,31.0
东莞市,2020,0.9486,0.8999,4.924600e-16,0.0921,31.0
东营市,2010,0.9364,0.8768,1.016300e-14,0.1399,31.0
东营市,2020,0.9761,0.9529,4.086900e-20,0.076,30.0
中卫市,2010,0.4159,0.173,2.225100e-02,0.6166,30.0
中卫市,2020,0.6005,0.3606,4.503900e-04,0.4851,30.0
中山市,2010,0.9372,0.8784,7.164300e-14,0.1153,29.0
中山市,2020,0.9779,0.9562,2.984500e-21,0.0958,31.0
临夏回族自治州,2010,0.2882,0.083,1.159500e-01,0.3328,31.0
临夏回族自治州,2020,0.7053,0.4975,9.380500e-06,0.3,31.0
临汾市,2010,0.8652,0.7485,3.407400e-10,0.5811,31.0
临汾市,2020,0.9698,0.9405,4.468900e-18,0.3031,29.0
临沂市,2010,0.9833,0.9669,1.596300e-21,0.0315,29.0
临沂市,2020,0.9559,0.9137,5.707700e-17,0.0423,31.0
临沧市,2010,0.5708,0.3258,1.222900e-03,0.7821,29.0
临沧市,2020,0.7009,0.4913,1.605200e-05,0.7825,30.0
临高县,2010,0.8585,0.737,6.555300e-10,0.0333,31.0
临高县,2020,0.9042,0.8177,3.091800e-12,0.0445,31.0
丹东市,2010,0.9566,0.9152,1.076600e-02,0.01,5.0
丹东市,2020,0.9868,0.9738,1.810000e-03,0.0084,5.0
丽水市,2010,0.6722,0.4518,6.511100e-05,0.5768,29.0
丽水市,2020,0.8685,0.7544,1.017300e-09,0.4388,29.0
丽江市,2010,0.9606,0.9227,5.631300e-16,0.4019,28.0
丽江市,2020,0.9951,0.9902,1.180700e-28,0.189,29.0
乌兰察布市,2010,0.4994,0.2494,5.811600e-03,0.1189,29.0
乌兰察布市,2020,0.8337,0.695,1.064800e-08,0.0901,30.0
乌海市,2010,0.9162,0.8394,1.230100e-12,0.2071,30.0
乌海市,2020,0.8626,0.7441,8.834500e-10,0.2192,30.0
乌鲁木齐市,2010,0.9902,0.9804,1.851400e-25,0.0652,30.0
乌鲁木齐市,2020,0.9759,0.9525,2.144000e-19,0.1096,29.0
乐东黎族自治县,2010,0.5348,0.2861,1.936000e-03,0.2784,31.0
乐东黎族自治县,2020,0.7976,0.6362,7.769400e-08,0.1635,31.0
乐山市,2010,0.9339,0.8721,4.992200e-14,0.028,30.0
乐山市,2020,0.9577,0.9172,3.941400e-16,0.0359,29.0
九江市,2010,0.7045,0.4963,9.700300e-06,1.6493,31.0
九江市,2020,0.8319,0.692,1.221900e-08,1.0354,30.0
云浮市,2010,0.3464,0.12,6.077500e-02,0.2648,30.0
云浮市,2020,0.7896,0.6235,1.287900e-07,0.2453,31.0
五家渠市,2010,0.8219,0.6756,4.576900e-08,0.451,29.0
五家渠市,2020,0.7414,0.5497,2.771800e-06,0.4075,30.0
五指山市,2010,0.0962,0.0093,6.067400e-01,0.5425,31.0
五指山市,2020,0.0563,0.0032,7.636100e-01,0.5986,31.0
亳州市,2010,0.9468,0.8964,8.194400e-16,0.0158,31.0
亳州市,2020,0.9976,0.9952,5.874000e-34,0.0159,30.0
仙桃市,2010,0.5634,0.3174,9.666800e-04,0.0461,31.0
仙桃市,2020,0.736,0.5417,2.376600e-06,0.0226,31.0
伊春市,2010,0.9717,0.9442,1.004500e-19,0.0772,31.0
伊春市,2020,0.947,0.8968,7.768200e-16,0.069,31.0
伊犁哈萨克自治州,2010,0.9867,0.9735,7.957800e-23,0.0371,29.0
伊犁哈萨克自治州,2020,0.9538,0.9097,1.274900e-15,0.1335,29.0
佛山市,2010,0.9749,0.9504,8.309500e-20,0.0199,30.0
佛山市,2020,0.6927,0.4798,3.126400e-05,0.0426,29.0
佳木斯市,2010,0.9454,0.8937,1.149300e-14,0.0835,29.0
佳木斯市,2020,0.9897,0.9795,2.418000e-24,0.0547,29.0
保亭黎族苗族自治县,2010,0.8098,0.6557,5.958900e-08,0.1304,30.0
保亭黎族苗族自治县,2020,0.8258,0.682,1.070000e-08,0.196,31.0
保定市,2010,0.9801,0.9607,6.258500e-22,0.0603,31.0
保定市,2020,0.983,0.9664,3.571600e-22,0.062,30.0
保山市,2010,0.5648,0.319,1.147600e-03,0.5618,30.0
保山市,2020,0.8405,0.7065,3.287000e-09,0.4347,31.0
信阳市,2010,0.708,0.5012,1.736900e-05,0.2603,29.0
信阳市,2020,0.8506,0.7235,5.130200e-09,0.1901,29.0
儋州市,2010,0.8901,0.7922,1.040300e-10,0.0887,29.0
儋州市,2020,0.9637,0.9288,3.500000e-18,0.0618,31.0
克孜勒苏柯尔克孜自治州,2010,0.5349,0.2862,2.321300e-03,0.7074,30.0
克孜勒苏柯尔克孜自治州,2020,0.7537,0.5681,9.828800e-07,0.5568,31.0
克拉玛依市,2010,0.8701,0.757,8.769200e-10,0.1224,29.0
克拉玛依市,2020,0.9348,0.8739,1.177700e-13,0.1252,29.0
六安市,2010,0.7946,0.6314,1.579500e-07,0.0786,30.0
六安市,2020,0.9609,0.9234,1.008300e-17,0.0327,31.0
六盘水市,2010,0.4089,0.1672,2.763100e-02,0.4078,29.0
六盘水市,2020,0.3097,0.0959,1.020400e-01,0.4994,29.0
兰州市,2010,0.9859,0.9721,2.668000e-23,0.1219,30.0
兰州市,2020,0.9806,0.9615,1.236300e-20,0.1703,29.0
兴安盟,2010,0.9162,0.8395,4.806300e-13,0.0678,31.0
兴安盟,2020,0.9494,0.9014,4.001500e-16,0.1213,31.0
内江市,2010,0.9855,0.9713,1.416200e-21,0.0153,28.0
内江市,2020,0.9985,0.997,2.163400e-34,0.0104,28.0
凉山彝族自治州,2010,0.7147,0.5108,1.325800e-05,1.4416,29.0
凉山彝族自治州,2020,0.847,0.7173,6.927600e-09,1.2039,29.0
包头市,2010,0.938,0.8798,6.085900e-14,0.1604,29.0
包头市,2020,0.8751,0.7657,1.206200e-10,0.142,31.0
北京市,2010,0.9789,0.9582,3.827200e-20,0.0949,29.0
北京市,2020,0.953,0.9083,1.382600e-16,0.0735,31.0
北屯市,2010,0.9459,0.8948,3.195700e-15,0.1089,30.0
北屯市,2020,0.9896,0.9793,5.771300e-26,0.0413,31.0
北海市,2010,0.998,0.996,1.964200e-08,0.0058,8.0
北海市,2020,0.7184,0.5162,2.922300e-02,0.0946,9.0
十堰市,2010,0.2796,0.0782,1.276700e-01,0.2263,31.0
十堰市,2020,0.5938,0.3526,6.838500e-04,0.1855,29.0
南京市,2010,0.6825,0.4659,3.251400e-05,0.1036,30.0
南京市,2020,0.9526,0.9074,1.785700e-15,0.0417,29.0
南充市,2010,0.986,0.9723,2.385700e-23,0.0333,30.0
南充市,2020,0.9975,0.9949,2.164400e-31,0.0171,28.0
南宁市,2010,0.9514,0.9052,7.402000e-16,0.018,30.0
南宁市,2020,0.8352,0.6976,5.108500e-09,0.0308,31.0
南平市,2010,0.9047,0.8185,3.946400e-11,0.3418,28.0
南平市,2020,0.921,0.8482,3.805700e-12,0.3029,28.0
南昌市,2010,0.9808,0.9619,3.960900e-22,0.0252,31.0
南昌市,2020,0.9369,0.8778,9.036600e-15,0.0241,31.0
南通市,2010,0.9934,0.9868,7.094700e-28,0.0269,30.0
南通市,2020,0.935,0.8742,1.371800e-14,0.0455,31.0
南阳市,2010,0.988,0.9761,4.473800e-25,0.0287,31.0
南阳市,2020,0.9985,0.997,7.016200e-37,0.0095,30.0
博尔塔拉蒙古自治州,2010,0.3718,0.1382,3.946100e-02,0.9483,31.0
博尔塔拉蒙古自治州,2020,0.6114,0.3738,2.579800e-04,0.7076,31.0
厦门市,2010,0.8875,0.7876,3.669300e-08,0.1048,22.0
厦门市,2020,0.9408,0.8851,7.494900e-11,0.0869,22.0
双河市,2010,0.4496,0.2021,1.117200e-02,0.839,31.0
双河市,2020,0.4843,0.2346,5.765600e-03,0.6846,31.0
双鸭山市,2010,0.9381,0.8801,6.871400e-15,0.0705,31.0
双鸭山市,2020,0.9422,0.8878,7.342500e-14,0.0579,28.0
可克达拉市,2010,,0.0,nan,0.2295,31.0
可克达拉市,2020,0.8534,0.7283,2.066300e-09,0.2089,30.0
台州市,2010,0.7847,0.6157,2.860700e-07,0.0924,30.0
台州市,2020,0.9913,0.9826,2.062000e-24,0.0221,28.0
台湾省,2010,0.8527,0.7271,4.277100e-09,1.1209,29.0
台湾省,2020,0.8749,0.7654,5.426600e-10,1.1907,29.0
合肥市,2010,0.9942,0.9885,1.004500e-27,0.0189,29.0
合肥市,2020,0.9782,0.9569,1.172700e-20,0.0529,30.0
吉安市,2010,0.9558,0.9136,5.845200e-17,0.0284,31.0
吉安市,2020,0.9768,0.9541,2.812900e-20,0.0327,30.0
吉林市,2010,0.8808,0.7759,6.311600e-11,0.2254,31.0
吉林市,2020,0.969,0.9391,3.641700e-19,0.1209,31.0
吐鲁番市,2010,0.6875,0.4727,3.779600e-05,1.2634,29.0
吐鲁番市,2020,0.7001,0.4901,1.661400e-05,1.7172,30.0
吕梁市,2010,0.606,0.3672,3.026100e-04,0.8135,31.0
吕梁市,2020,0.774,0.5991,3.261300e-07,0.5366,31.0
吴忠市,2010,0.3496,0.1222,5.388100e-02,0.3226,31.0
吴忠市,2020,0.7044,0.4962,9.752600e-06,0.3233,31.0
