city_name,year,R,R的平方,p值,RMSE,样本数量
七台河市,2010,0.6568,0.4314,5.990700e-05,0.5075,31.0
七台河市,2020,0.7418,0.5503,1.789600e-06,0.3225,31.0
万宁市,2010,0.5265,0.2772,9.854000e-03,0.3867,23.0
万宁市,2020,0.609,0.3709,2.629400e-03,0.2484,22.0
三亚市,2010,0.7794,0.6075,1.682100e-03,0.2906,13.0
三亚市,2020,0.6683,0.4467,1.252100e-02,0.3742,13.0
三明市,2010,0.5487,0.301,1.692800e-03,1.4284,30.0
三明市,2020,0.6089,0.3707,3.563200e-04,1.4266,30.0
三门峡市,2010,0.8356,0.6983,4.942400e-09,0.46,31.0
三门峡市,2020,0.8821,0.778,5.476900e-11,0.364,31.0
上海市,2010,0.9433,0.8899,7.372400e-18,0.087,36.0
上海市,2020,0.9023,0.8141,5.665300e-14,0.0618,36.0
上饶市,2010,0.8359,0.6987,1.663000e-08,0.211,29.0
上饶市,2020,0.7933,0.6293,1.707500e-07,0.2957,30.0
东方市,2010,0.0457,0.0021,8.071500e-01,0.1291,31.0
东方市,2020,0.62,0.3844,1.991900e-04,0.154,31.0
东莞市,2010,0.8966,0.804,2.491500e-10,0.0921,27.0
东莞市,2020,0.9253,0.8561,9.769800e-14,0.1104,31.0
东营市,2010,0.9097,0.8275,1.375300e-12,0.1655,31.0
东营市,2020,0.9793,0.959,2.927100e-20,0.0717,29.0
中卫市,2010,0.3425,0.1173,6.395500e-02,0.637,30.0
中卫市,2020,0.4313,0.1861,1.947800e-02,0.5012,29.0
中山市,2010,0.6819,0.465,2.397800e-05,0.2367,31.0
中山市,2020,0.9394,0.8825,5.098800e-15,0.1569,31.0
临夏回族自治州,2010,-0.136,0.0185,4.658100e-01,0.3443,31.0
临夏回族自治州,2020,-0.3112,0.0968,8.835800e-02,0.4022,31.0
临汾市,2010,0.7219,0.5212,4.555800e-06,0.8019,31.0
临汾市,2020,0.8112,0.658,3.115200e-08,0.7573,31.0
临沂市,2010,0.8409,0.7071,5.994300e-09,0.0902,30.0
临沂市,2020,0.7331,0.5374,2.731500e-06,0.098,31.0
临沧市,2010,0.5389,0.2904,2.558900e-03,0.8024,29.0
临沧市,2020,0.5688,0.3235,1.284400e-03,0.7763,29.0
临高县,2010,0.85,0.7225,1.445200e-09,0.0342,31.0
临高县,2020,0.7884,0.6217,1.385100e-07,0.0641,31.0
丹东市,2010,0.83,0.6889,8.194100e-02,0.0191,5.0
丹东市,2020,-0.5707,0.3257,3.150000e-01,0.0428,5.0
丽水市,2010,0.6061,0.3673,4.928100e-04,0.6197,29.0
丽水市,2020,0.7635,0.5829,1.453700e-06,0.5717,29.0
丽江市,2010,0.8321,0.6923,2.213900e-08,0.769,29.0
丽江市,2020,0.9565,0.9149,1.993400e-15,0.532,28.0
乌兰察布市,2010,0.3665,0.1343,5.053000e-02,0.1277,29.0
乌兰察布市,2020,0.6149,0.3781,2.992600e-04,0.1286,30.0
乌海市,2010,0.8588,0.7375,6.377200e-10,0.2609,31.0
乌海市,2020,0.7997,0.6395,6.778500e-08,0.2594,31.0
乌鲁木齐市,2010,0.1839,0.0338,3.220300e-01,0.4517,31.0
乌鲁木齐市,2020,-0.4847,0.2349,5.720400e-03,0.4362,31.0
乐东黎族自治县,2010,0.5169,0.2672,2.905300e-03,0.2821,31.0
乐东黎族自治县,2020,0.7435,0.5529,1.645900e-06,0.1812,31.0
乐山市,2010,0.8957,0.8023,5.279300e-11,0.0332,29.0
乐山市,2020,0.6509,0.4237,7.337800e-05,0.0923,31.0
九江市,2010,0.5811,0.3377,6.078700e-04,1.8913,31.0
九江市,2020,0.6753,0.456,3.080800e-05,1.4136,31.0
云浮市,2010,0.3428,0.1175,6.370300e-02,0.2652,30.0
云浮市,2020,0.6114,0.3738,3.317100e-04,0.2971,30.0
五家渠市,2010,-0.486,0.2362,5.573400e-03,0.6933,31.0
五家渠市,2020,-0.1748,0.0306,3.469300e-01,0.6109,31.0
五指山市,2010,0.0358,0.0013,8.483900e-01,0.5447,31.0
五指山市,2020,-0.0014,0.0,9.940300e-01,0.5996,31.0
亳州市,2010,0.8879,0.7884,2.730200e-11,0.0226,31.0
