FID,BH_2010,BH_2020,MODIS_2010,MODIS_2020,city_name,buffer_id,distance,predict_2010,residual_2010,predict_2020,residual_2020
8353,0.011137072,0.358375258,22.0223785,20.33270457,七台河市,60,30,20.939995470622147,1.0823830293778514,19.714565805493223,0.618138764506778
8354,0.013446623,0.418893073,22.02443996,20.33926211,七台河市,59,29,20.998134110002812,1.0263058499971862,19.761941687352664,0.5773204226473361
8355,0.013286577,0.425577019,22.01571137,20.34347821,七台河市,58,28,20.994200958278437,1.021510411721561,19.766777783428772,0.5767004265712288
8356,0.012818515,0.363088492,22.00698279,20.35263501,七台河市,57,27,20.982616813618908,1.024365976381091,19.718494136853277,0.6341408731467233
8357,0.006665627,0.249950103,21.99539642,20.34689888,七台河市,56,26,20.818865135903543,1.1765312840964555,19.612247263911257,0.734651616088744
8358,0.002649729,0.282931527,21.98712121,20.34150187,七台河市,55,25,20.70019486707934,1.2869263429206619,19.64587398917996,0.6956278808200373
8359,0.002650865,0.36966428,21.97885372,20.34153484,七台河市,54,24,20.700229784081387,1.2786239359186133,19.72390605462464,0.6176287853753628
8360,0.015365416,0.515946997,21.97153535,20.3462636,七台河市,53,23,21.044190295580794,0.9273450544192059,19.824971528242347,0.521292071757653
8361,0.039494717,0.692552639,21.9724864,20.34476905,七台河市,52,22,21.461331060054437,0.5111553399455637,19.905142281811997,0.4396267681880026
8362,0.054734708,0.88006641,21.9900576,20.35917524,七台河市,51,21,21.586739417142166,0.4033181828578343,19.953964937588104,0.40521030241189493
8363,0.070328042,1.065036458,22.0028752,20.36525254,七台河市,50,20,21.622148972305784,0.3807262276942147,19.980479114612447,0.38477342538755366
8364,0.082683307,1.49931791,22.03359972,20.38951416,七台河市,49,19,21.59348149663314,0.4401182233668628,20.04417164787703,0.34534251212297207
8365,0.209099067,2.147804539,22.08514492,20.43247708,七台河市,48,18,20.23467857849824,1.850466341501761,20.495606333572752,-0.06312925357275034
8366,0.386686437,2.908338809,22.12987486,20.46890656,七台河市,47,17,26.501980245381482,-4.372105385381481,22.35120711083594,-1.8823005508359394
8367,0.911711923,3.886820495,22.20984844,20.53596848,七台河市,46,16,306.0117836629789,-283.80193522297895,28.45342969917074,-7.91746121917074
8368,1.317073171,4.595112116,22.2931905,20.61508964,七台河市,45,15,1068.8976632817653,-1046.6044727817653,36.636971105634984,-16.021881465634983
8369,1.727577863,5.542850526,22.3582016,20.6657774,七台河市,44,14,2628.4963136298593,-2606.1381120298593,54.172478686058696,-33.5067012860587
8370,2.50259573,6.612009353,22.45355729,20.74239137,七台河市,43,13,8712.453824936547,-8690.000267646546,85.33008757415114,-64.58769620415114
8371,3.039153687,7.101478764,22.5014946,20.7731318,七台河市,42,12,16141.925786042679,-16119.42429144268,104.37613042988309,-83.60299862988309
8372,3.2844094,7.19316147,22.52615495,20.7774796,七台河市,41,11,20614.727281620573,-20592.201126670574,108.31244659074491,-87.53496699074492
8373,3.08959594,6.704339633,22.52535172,20.7574168,七台河市,40,10,17002.79871725982,-16980.27336553982,88.6761052360555,-67.9186884360555
