city_name,year,R,R的平方,p值,RMSE,样本数量
七台河市,2010,0.8227,0.6768,1.359500e-08,0.406,31.0
七台河市,2020,0.8848,0.7829,3.963600e-11,0.2483,31.0
万宁市,2010,0.926,0.8574,5.580200e-06,0.2009,13.0
万宁市,2020,0.9346,0.8735,2.871700e-06,0.1799,13.0
三亚市,2010,0.9956,0.9913,1.117500e-12,0.0171,13.0
三亚市,2020,0.9748,0.9503,1.626500e-08,0.0446,13.0
三明市,2010,0.7194,0.5175,1.095400e-05,0.6899,29.0
三明市,2020,0.644,0.4147,1.635900e-04,0.8509,29.0
三门峡市,2010,0.8377,0.7017,4.168600e-09,0.1832,31.0
三门峡市,2020,0.9248,0.8553,1.055400e-13,0.1287,31.0
上海市,2010,0.9881,0.9764,8.927600e-27,0.0341,33.0
上海市,2020,0.9829,0.966,7.542100e-23,0.0219,31.0
上饶市,2010,0.8514,0.7249,4.780500e-09,0.1772,29.0
上饶市,2020,0.8673,0.7522,1.145600e-09,0.2236,29.0
东方市,2010,0.6694,0.4481,7.149200e-05,0.1497,29.0
东方市,2020,0.9625,0.9265,2.096800e-17,0.0716,30.0
东莞市,2010,0.9915,0.983,2.501000e-26,0.0254,30.0
东莞市,2020,0.9465,0.8959,2.770500e-15,0.0478,30.0
东营市,2010,0.9247,0.855,7.774800e-13,0.1515,29.0
东营市,2020,0.9551,0.9122,8.691100e-16,0.098,29.0
中卫市,2010,0.3078,0.0948,9.795600e-02,0.6288,30.0
中卫市,2020,0.5525,0.3053,1.267700e-03,0.5318,31.0
中山市,2010,0.7918,0.627,1.124600e-07,0.1248,31.0
中山市,2020,0.9427,0.8887,2.162300e-14,0.1433,29.0
临夏回族自治州,2010,0.7422,0.5509,1.755900e-06,0.3347,31.0
临夏回族自治州,2020,0.9495,0.9015,4.100000e-15,0.2068,29.0
临汾市,2010,0.9483,0.8993,1.743200e-15,0.2716,30.0
临汾市,2020,0.9771,0.9547,1.122000e-19,0.1872,29.0
临沂市,2010,0.9763,0.9532,8.156200e-19,0.0252,28.0
临沂市,2020,0.9819,0.9642,1.608800e-22,0.0161,31.0
临沧市,2010,0.2104,0.0443,2.643500e-01,0.9382,30.0
临沧市,2020,0.8914,0.7946,8.875400e-11,0.514,29.0
临高县,2010,0.7809,0.6097,3.563900e-07,0.0246,30.0
临高县,2020,0.7159,0.5125,8.674700e-06,0.0214,30.0
丽水市,2010,0.7008,0.4911,2.301100e-05,0.9715,29.0
丽水市,2020,0.6829,0.4664,4.464900e-05,0.9832,29.0
丽江市,2010,0.6886,0.4741,2.594400e-05,0.4217,30.0
丽江市,2020,0.9761,0.9528,4.206400e-20,0.1582,30.0
乌兰察布市,2010,0.4356,0.1898,1.816800e-02,0.1099,29.0
